date,open,close,high,low,volume,amount
20150213 10:08:00,13.93,13.93,13.93,13.9,300600,4184977
20150213 10:09:00,13.93,13.91,13.93,13.9,226400,3150761
20150213 10:10:00,13.91,13.91,13.92,13.91,159000,2212363
20150213 10:11:00,13.92,13.92,13.92,13.91,98500,1370642
20150213 10:12:00,13.91,13.91,13.92,13.91,118900,1654138
20150213 10:13:00,13.91,13.93,13.93,13.91,522800,7279968
20150213 10:14:00,13.93,13.91,13.93,13.91,169600,2360878
20150213 10:15:00,13.91,13.91,13.92,13.9,149900,2085172
20150213 10:16:00,13.9,13.92,13.92,13.9,98900,1375515
20150213 10:17:00,13.92,13.92,13.92,13.91,177300,2467284
20150213 10:18:00,13.93,13.93,13.93,13.91,332900,4634039
20150213 10:19:00,13.93,13.94,13.94,13.92,68700,956440
20150213 10:20:00,13.93,13.95,13.95,13.93,363300,5063565
20150213 10:21:00,13.94,13.94,13.95,13.93,274900,3831749
20150213 10:22:00,13.95,13.95,13.95,13.94,439100,6123214
20150213 10:23:00,13.94,13.94,13.95,13.94,319900,4461544
20150213 10:24:00,13.95,13.94,13.95,13.93,158900,2215391
20150213 10:25:00,13.94,13.97,13.97,13.93,774900,10818606
20150213 10:26:00,13.98,13.97,13.98,13.96,618500,8638484
20150213 10:27:00,13.96,13.96,13.98,13.95,679200,9488918
20150213 10:28:00,13.95,13.96,13.96,13.94,413200,5763908
20150213 10:29:00,13.96,13.95,13.96,13.94,110000,1534661
20150213 10:30:00,13.95,13.97,13.97,13.95,302400,4222800
20150213 10:31:00,13.97,13.97,13.98,13.97,446500,6238373
20150213 10:32:00,13.97,13.95,13.97,13.95,249900,3488514
20150213 10:33:00,13.95,13.96,13.97,13.95,169400,2364348
20150213 10:34:00,13.94,13.94,13.96,13.94,223800,3120439
20150213 10:35:00,13.95,13.96,13.96,13.94,254000,3542788
20150213 10:36:00,13.95,13.96,13.96,13.94,165800,2313130
20150213 10:37:00,13.96,13.95,13.96,13.95,172300,2404443
20150213 10:38:00,13.95,13.95,13.97,13.95,383700,5356318
20150213 10:39:00,13.96,13.95,13.97,13.95,313200,4372732
20150213 10:40:00,13.95,13.97,13.97,13.95,117300,1637617
20150213 10:41:00,13.94,13.97,13.97,13.94,375700,5244437
20150213 10:42:00,13.97,13.97,13.98,13.97,195300,2729463
20150213 10:43:00,13.98,13.97,13.98,13.97,468900,6553584
20150213 10:44:00,13.98,13.99,13.99,13.98,149000,2083681
20150213 10:45:00,13.99,13.97,13.99,13.96,696000,9724307
20150213 10:46:00,13.98,13.97,13.98,13.97,135500,1893246
20150213 10:47:00,13.97,13.95,13.98,13.95,249500,3483608
20150213 10:48:00,13.96,13.98,13.98,13.95,92400,1290366
20150213 10:49:00,13.97,13.97,13.98,13.96,192600,2691157
20150213 10:50:00,13.96,13.97,13.98,13.96,164900,2304624
20150213 10:51:00,13.97,13.99,13.99,13.97,486800,6805550
20150213 10:52:00,13.99,14,14,13.99,1664500,23299022
20150213 10:53:00,14,14.04,14.04,14,741000,10391581
20150213 10:54:00,14.05,14.06,14.06,14.04,1306200,18359414
20150213 10:55:00,14.06,14.05,14.07,14.04,513900,7222830
20150213 10:56:00,14.03,14.03,14.05,14.03,228600,3208287
20150213 10:57:00,14.03,14.07,14.08,14.03,848400,11923884
20150213 10:58:00,14.07,14.05,14.07,14.05,600100,8441139
20150213 10:59:00,14.04,14.06,14.06,14.04,228900,3214269
20150213 11:00:00,14.05,14.06,14.07,14.05,415900,5847373
20150213 11:01:00,14.06,14.05,14.07,14.05,474600,6669959
20150213 11:02:00,14.05,14.05,14.06,14.05,371000,5213298
20150213 11:03:00,14.05,14.05,14.06,14.04,330400,4643083
20150213 11:04:00,14.06,14.04,14.06,14.03,172800,2426831
20150213 11:05:00,14.04,14.05,14.06,14.04,253600,3562710
20150213 11:06:00,14.05,14.06,14.06,14.04,456700,6418312
20150213 11:07:00,14.07,14.06,14.07,14.05,564300,7933445
20150213 11:08:00,14.05,14.03,14.06,14.03,355600,4994109
20150213 11:09:00,14.04,14.02,14.05,14.02,157300,2207524
20150213 11:10:00,14.02,14.01,14.03,14,512900,7191341
20150213 11:11:00,14.01,14.03,14.03,14,347800,4875801
